Model,Type,Accuracy,Precision,Recall,F1-Score
KNN,Classical ML,49.795918367346935,56.401772624283616,49.79591836734693,50.46611724560355
SVM,Classical ML,73.06122448979592,73.86481865473462,73.06122448979592,73.17355887323005
